Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
GLOD5	0	0	0.169421	0	0.162251	0
GLP1R	0.243603	0.0284293	0.244812	0.18656	0.133505	0.33103
GLP2R	0.0659592	0	0	0.313455	0.0644888	0.386054
GLRA1	0	0.0509958217369	0.0619446	0	0.1185520810247	0.11825200856096
GLRA2	0.0701869	0	0.1050468	0.0225297	0.377727	0.137559
GLRA3	0.02918400349326	0.0245533431698	0.05972730151133	0.0594846724733	0.057141051836	0.170729060917
GLRA4	0	0	0.200471	0	0	0
GLRB	0.0694171928	0	0	0.0520945	0.203830954	0
GLRX	51.267023	48.193875	50.572604	43.559847	54.15551	48.875535
GLRX2	18.7199	18.979359	13.070595	21.018021	10.887843	22.429574
GLRX3	57.9657	45.1078	54.3211	59.505	68.029	70.7115
GLRX5	6.50444	5.47182	5.15082	5.46677	6.82655	6.44233
GLS	5.9006	5.2448	7.7243	6.67694	8.15546	9.63897
GLS2	1.25641	0.511467	1.07778	0.412948	1.07086	0.711407
GLT1D1	0.0389961	0.0984241	0.358988	0.158936	0.305305	0.0760535
GLT25D1	27.3775	26.2599	26.1105	27.9576	31.0357	37.9789
GLT25D2	2.3998	0.773966	1.92438	0.448467	3.81893	2.18359
GLT6D1	0.144774	0	0.0739359	0	0.424543	0.282473
GLT8D1	7.50036	4.41693	9.53256	6.619229	9.70796	9.71127
GLT8D2	0.17352	0.0973205	0.236458	0.117822	0.113133	0.112832
GLTP	22.0279	18.6573	23.889	20.8251	31.8824	31.5032
GLTPD1	3.86931	4.2442	3.55545	4.05811	2.97076	4.20352
GLTPD2	0.647819	0.700686	0.283334	0.439555	0.361592	0.722468
GLTSCR1	0.522355	0.303089	0.405692	0.46515	0.705622	0.491671
GLTSCR1L	1.67724	1.42445	2.0413	1.5485	3.3165	4.28815
GLTSCR2	16.479	14.1687	14.2357	12.4177	9.00893	8.64021
GLUD1	9.0195	7.23139	8.88931	7.9721	10.1982	10.9344
GLUD1P3	1.05163	0.690554	1.6481	0.941121	1.8795	0.900274
GLUD1P7	0.846117	0.756547	1.3814	1.33719	2.369475	2.45484
GLUD2	0.105411	0.129189	0.107744	0.106032	0	0.38486
GLUL	15.35178	12.209541	22.87454	19.41749	24.5325	32.733787
GLYAT	0.262452	0.0883204	0.536594	0.427747	0.822215	0.819115
GLYATL1	0.154265	0.173045	0.315416	0.279365	0.245458	0.30091
GLYATL2	0.161948	0	0.0826763	0.164866	0.0791269	0.316017
GLYATL3	0	0	0.0516511	0.0686201	0.0494224	0
GLYCAM1	0.310551	0	0.158039	0.315653	0	0.303229
GLYCTK	13.541344	9.1218807	15.751337	11.457356	22.896488	17.8671800721641
GLYR1	8.32053	7.19732	9.23132	8.95051	13.5135	12.5823
GM140	0	0	0.746285	0	0	0
GM2A	2.69034	2.54389	4.42586	3.16099	3.38513	4.12805
GMCL1	15.224	14.2292	23.0704	18.2992	24.9807	26.5022
GMCL1P1	0.908458	0.488983	1.19149	0.960864	1.16999	1.69319
GMDS	21.243059	19.4388	19.8602	21.837702	18.5017	30.79347
GMEB1	18.15266	13.811	21.64208	18.97657	24.5489	25.43324
GMEB2	4.6307	3.93762	5.37305	3.8027	6.69197	8.16034
GMFB	4.70394	4.2129	5.53902	3.59145	7.84947	7.19982
GMFG	571.869	541.202	426.308	415.176	418.282	348.82
GMIP	5.84675	5.19509	8.36363	5.83692	8.11831	8.02754
GML	0	0	0.173394	0.577332	0.166061	0
GMNC	0	0	0.0295905	0.0392934	0	0
GMNN	44.620527	43.183722	43.341806	54.25814	42.001685	65.55052
GMPPA	23.17624	22.67207	23.28178	27.1954	19.92468	24.29356
GMPPB	15.789383	16.74077	13.40796	20.00532	16.94444	21.54463
GMPR	1.24035	1.71866	1.56495	5.6955	2.06822	3.41663
GMPR2	22.23329	17.411794	22.653385	22.471479	24.724293	25.06951
GMPS	33.6657	29.8583	39.271	34.1372	38.4671	51.5973
GNA11	0	0.231482	0.281086	0.18679	0.336243	0.13421
GNA12	2.51751	1.49863	2.11487	3.17922	3.279	2.96385
GNA13	5.73719	4.5519	8.21694	4.43222	11.2062	8.73195
GNA14	0	0.0360044	0.1313	0	0.125627	0
GNA15	9.89236	15.8806	5.10836	16.7266	3.06113	8.66342
GNAI1	0.0662318	0.0805903	0.262425	0.263738	0.129661	0.123607
GNAI2	74.6388	64.1166	51.0761	66.12372	51.4661	37.5133
GNAI3	22.3736	27.3733	26.2618	29.1335	31.6647	32.6642
GNAL	1.06687	0.6293131	2.545397	0.513514	4.743076	1.854934
GNAO1	0.0498422	0.0877423	0.1819075	0.270983	0.113904	0.3277793
GNAQ	1.80958	1.72813	1.65014	3.02256	1.33969	1.71712
GNAS	106.987422	85.225397	125.060749	104.994674	129.52216	110.208365
GNAS-AS1	0.295215	0	0.100399	0.133522	0.288305	0
GNAT1	0.7645011	0.305243	0.936972	0.649872	1.458557	1.671614
GNAT2	1.2274	1.1014	1.75442	1.66599	1.5192	3.67251
GNAT3	0	0.18186	0	0.0733179	0	0.422002
GNAZ	0.295428	0.193317	0.201508	0.289907	0.642624	0.576122
GNB1	33.0126	28.1386	31.4238	35.5763	34.8247	38.0688
GNB1L	11.4395	7.78575	15.7532	8.44139	16.9766	13.0593
GNB2	38.2723	37.5179	30.7568	38.3706	32.2025	29.5588
GNB2L1	2630.45	3164.62	2201.98	3785.67	2071.4	2460.33
GNB3	2.0288	2.18094	2.47685	2.2195	3.47244	3.40797
GNB4	3.39906	3.75626	4.09152	5.41344	3.31142	6.22777
GNB5	11.1046	7.62073	15.641978	8.99435	15.9873	13.4033
GNE	2.34111	1.29450129855895	3.3779230929	2.1404000019221	3.53001333771	3.80006000614137
GNG10	21.93152	21.28953	23.86059	19.21622	27.13525	30.17484
GNG11	1.83989	1.34138	1.37518	1.91299	0.119686	0.718451
GNG12	0.0236113	0.0993251	0.0966679	0.320878	0.184956	0.230198
GNG12-AS1	0.143187	0.120464	0.390415	0.259323	1.02729	0.372383
GNG13	0	0	0.120645	0.0802578	0	0
GNG2	56.23741	43.720757	116.66723	54.078398	162.244495	111.67539
GNG3	0.123108	0.20712	1.58696	0.250431	0	0.240361
GNG4	1.01524	0.534669	1.530929008	1.355092	2.24947	2.25981
GNG5	227.734	222.759	171.104	224.663	193.141	203.828
GNG7	0.649282	0.201928	0.962838	0.834804	1.31083	1.32092
GNG8	1.06763	0.910591	1.06293	8.04436	8.26444	23.1916
GNGT1	0	0	0	0	0.197538	0
GNGT2	27.57731	17.065425	25.200709	18.0340060017969	27.51881	26.39396
GNL1	4.2555	3.33111	7.05885	5.252	6.51478	6.72199
GNL2	26.2831	27.4251	32.6988	33.4679	28.7627	44.7577
GNL3	18.90434	21.10908	21.51114	22.723228	22.48644	36.15898
GNL3L	6.95948	5.89098	7.96096	7.32495	9.78568	11.78933
GNLY	28079.74	25162.956	35370.853	13417.108	10949.152	4827.021
GNMT	0.215492	0.453196	0.219772	0.365419	0.420757	0.630974
GNN	0.184282	0.0969019	0.0235779	0.093916	0.0451118	0.269495
GNPAT	23.3381	19.8347	27.5995	22.5816	25.9799	30.7563
GNPDA1	5.17566	5.1781	13.5405	10.6088	15.6018	17.6435
GNPDA2	2.6100010159466	1.8691400140611	4.074299	2.411818	4.56260531	4.06872
GNPNAT1	3.82394	3.30758	5.81765	4.19962	6.80489	9.98061
GNPTAB	26.5778	21.9302	39.6829	17.6528	56.0816	35.5012
GNPTG	35.8012	25.238	39.684	26.4451	48.342	38.3841
GNRH1	1.4006	0.738623	0.985821	1.05309	1.233344	1.65869
GNRH2	0.374718562351	0	0	0.465242	0.36262886989	0
GNRHR	0.177029	0	0.163117	0.144368	0.346756	0.276129
GNRHR2	0.576673	0.210244	0.750406	0.626351	1.20497	1.4391
GNS	4.27678	3.21195	7.96526	3.2551	9.93782	8.32245
GOLGA1	2.80644	2.28962	2.43751	1.89263	4.43462	4.97463
GOLGA2	8.22352	6.47658	11.3677	8.06446	11.7555	14.0834
GOLGA2P2Y	0.05422	0.1368344	0.1138438	0.270486	0.052932	0.529202
GOLGA2P3Y	0.05422	0.1368344	0.1138438	0.270486	0.052932	0.529202
GOLGA2P5	4.247384	3.43809	6.41078	3.612892	8.00381	6.99607
GOLGA3	11.259731	9.322533	13.563317	12.631478	14.724137	18.923199
GOLGA4	6.2364	4.019176	7.76374	5.801378	10.12397	8.37277
GOLGA5	5.45261	4.74132	7.22497	5.0713	10.3866	11.5616
GOLGA6A	0.231687	0	0	0.335809	0	1.03213
GOLGA6B	0.125467	0	0.131835	0	0.0621014	0.245911
GOLGA6C	0.318631	0.261752	0.521476	0.299334	0.662002	0.269322
GOLGA6D	0	0	0	0.0774676	0.245351	0
GOLGA6L1	0.597432	1.02787	0.987292	1.29262	1.5295	1.55396
GOLGA6L10	0.775483	0.0747816	0.731018	0.644994	0.482984	0.18058
GOLGA6L4	0	0.247335	0.572521	0.415542	0.000641689	0.557091
GOLGA6L5	0.498942	0.208899	0.87102	0.780858	0.831997	0.583578
GOLGA6L6	0.160178	0.0947654	0.830045	0.431115	0.830134	0.524807
GOLGA6L7P	0.696981	0.332037	1.04426	0.293876	0.387737	0.581833
GOLGA6L9	0.477492	0.243281	0.590156	0.935588	1.48806011216	1.13269
GOLGA7	22.188859	14.476769	31.51932	19.340348	49.49324	36.43085
GOLGA7B	0.223871	0.188353	0.720388	0.195615	0.924054	0.374126
GOLGA8A	12.1110146	10.3881000091986	15.3031	14.0154	10.5098	12.9365
GOLGA8B	10.78364	9.00202	17.01195	11.70093	22.78923	22.76499
GOLGA8CP	0	0	0.0393378	0	0.0661022	0
GOLGA8DP	0.0819213	0.0739838	0.221619	0.0460699	0.119142	0.121617
GOLGA8EP	0.711896	0.442671	0.605462	0.602842	1.58717	1.70223
GOLGA8F	0.0733714	0.124041	0.110634	0	0	0
GOLGA8G	0	0	0	0	0.250739012579	0.354297
GOLGA8I	19.6203	8.78988	12.1283	7.68949	29.2837	21.6979
GOLGA8S	6.45066	3.77919	5.66781	2.77435	13.7083	8.76416
GOLGA8T	13.5951	9.25161	11.5858	6.27598	29.967	22.1804
GOLGB1	5.602765272438	3.773711	5.9042956837	4.79355378	7.7000219	6.117832985
GOLIM4	9.92473	9.60547	10.0378	13.3318	9.23859	18.4097
GOLM1	1.98784	0.692032	3.78194	1.3967964	3.28756	1.9383
GOLPH3	6.8259	6.11	7.02232	5.8497	8.07805	7.58506
GOLPH3L	5.0589	3.21322	6.52437	5.09676	8.06664	7.74038
GOLT1A	0	0	0	0	0	0.524232
GOLT1B	5.62742	5.30262	6.64607	7.03459	6.23252	11.7893
GON4L	7.34062	4.712549	9.66765	6.490672	11.73798	9.89103
GOPC	3.02668	2.600416	4.266051	2.324176	5.98124	5.63026
GORAB	2.305728	1.31685	2.47046	2.494111	2.867678	3.29374
GORASP1	3.38286	3.13649	3.3196	2.32158	5.23698	4.91421
GORASP2	20.44907	21.41689	24.20905	18.7439	26.13964	30.7816
GOSR1	8.870002	6.388527	12.92931	11.294283	14.698744	16.03646
GOSR2	13.586	11.63326	20.24841	15.99039	19.19701	23.7155
GOT1	24.4386	29.4995	22.2433	66.0086	22.026	41.8465
GOT1L1	0	0.068175	0.248227	0.164998	0.15838	0.158136
GOT2	38.0265	38.8895	40.0476	47.6873	28.6315	55.9655
GP1BA	0.127845	0.14341	0.34866	0.781525	0.542093	0.748039
GP1BB	0.0579814	0.364953	0.591636	5.49708	0.593799	3.76015
GP2	1.57119678	1.29571047	2.4647625	1.39797365	2.8177946	3.1013154
GP5	0.0914273	0.129042	0.188697	0.207375	0.238926	0.413661
GP6	3.35412034	3.20169	3.59563	2.9746	2.850993138	5.46304
GP9	0.138843	0	0.565652	2.72935	0	1.35569
GPA33	0.0758832	0.127684	0.155243	0.257736	0.259928	1.10994
GPAA1	137.038	141.622	154.917	128.699	147.213	151.004
GPAM	0.694614	0.62517	0.777003	0.833981	1.12283	1.16531
GPANK1	14.886547	10.8626361	19.367273	16.0078591492	20.018100496713	18.55762
GPAT2	6.90266	8.74033	6.44527	5.83115	17.8699	21.7724
GPATCH1	4.15773	4.10292	5.46965	5.07601	5.99793	6.52292
GPATCH11	3.13847	2.64025	3.84392	3.22486	5.7815	4.54998
GPATCH2	2.42756	2.08086	2.48233	2.11539	3.5403	3.03746
GPATCH2L	4.527958	3.73038	5.41739	5.04401	9.31639	7.59813
GPATCH3	8.69408	5.95353	9.76693	8.89075	13.3507	13.6062
GPATCH4	13.287261	13.6012	10.8661	17.599094	14.4975	19.2711
GPATCH8	6.32075	5.21923	8.349	7.32573000039124	11.5346	9.80429
GPBAR1	0.518218	0.602434	0.329652	0.452258	0.974814	1.1578903
GPBP1	12.695372	9.679541	17.54564	12.39936	25.332364	24.483242
GPBP1L1	7.39278	5.39517	8.79756	6.69724	11.4322	11.1396
GPC1	1.39221	0.908361	1.62821	0.617739	0.584135	0.720261
GPC2	0.126195	0.318508	0.0430209	0.171432	0.041162	0.164084
GPC3	0.299535	0	0.274923	0.101711	0	0.270465
GPC4	0.0281905	0	0	0.0383072	0.0275988	0.0549716
GPC5	0	0.030911	0.0751692	0.149752	0.0719182	0.143307
GPC5-AS1	0.117147	0.64702	0.907931	0.626298	1.81395	0
GPC6	0.115926	0.0121917	0.0593501	0.0196967	0.0283869	0.0282519
GPC6-AS2	0.194049	0	0.591468	0.131354	0.566611	0.378999
GPCPD1	2.88173	2.48832	4.32815	2.80865	5.16159	5.65567
GPD1	0.0700675	0.0294746	0.286725	0.209196	0.102871	0.136644
GPD1L	3.46886	2.59419	4.3391	2.35699	4.52847	4.35907
GPD2	1.43241	0.809108	1.973148	1.142018	2.537465	2.060552
GPER	0.0401907	0.067626	0.493288	0.0819002	0.078661	0.627076
GPHA2	0	0	0	0	0	0.319981
GPHB5	0	0	0	0.165916	0	0
GPHN	1.06555	1.07985	0.913971	1.7278	0.745504	1.416623865
GPI	185.35282	222.52038	151.624878	211.09051	128.030774	192.78389
GPIHBP1	0.0469744	0.0790397	0.0480318	0.0957104	0.137874	0.091623
GPKOW	12.0506	8.77628	15.6346	12.0928	19.2932	15.2502
GPLD1	0.827002	0.63546	1.58002	1.03137	2.12968	2.11496
GPM6A	6.73688	8.26769	7.25456	6.91549	11.6891574	13.016148
GPM6B	2.7342073	1.6251701	4.692034	2.138985	5.30193	3.42158
GPN1	18.6201	18.7080930162	29.975836	24.32206	30.9189	31.5812
GPN2	16.5491	17.3105	14.1354	17.9933	18.0371	18.5739
GPN3	12.87857	12.84602	15.151621	15.251293	17.060987	22.11162
GPNMB	0	0	0.0794993	0.0263976133423	0.225074	0.1515800206183
GPR1	0.9918175	0.3341597	1.640405	0.964711	1.560176	2.876418
GPR101	0	0	0.0738831	0	0	0
GPR107	3.025858	2.693162	3.67041037344	2.92388200063687	3.84443	4.172586
GPR108	49.0681	52.9008	45.0131	43.2656	48.0996	54.8957
GPR110	0.518037	0.5900577	0.741149	1.17967	1.62968	3.229735
GPR111	0.247576	0.208187	0.403305	0.378061	0.303566	0.719871
GPR112	0.546319	0.216814	0.963415	0.784693	0.92901	1.52728
GPR113	0.900527	0.594416	1.460268	0.454048	1.211021	0.5531937
GPR114	17.9524	15.1039	23.6694	14.3913	32.672	26.5946
GPR115	0	0.0280358	0.136374	0	0	0.129971
GPR116	0.0359092742375	0.030211967401	0.109127	0.19522570624	0.15825715571	0.14002771114
GPR119	0	0	0.291036	0.0645038	0	0
GPR12	0.241625	0.147532	0.277861	0.371766	0.416497	0.344607
GPR123	0.0729833	0.0409355	0.149397	0.0991829	0.0714612	0.142311
GPR124	0.119785	0.0143972	0.210237	0.197699	0.184356	0.133456
GPR125	0.341557	0.517255	0.862365	0.742696	0.713499	1.06559
GPR126	0.03015350321789	0.038054113384	0.1389350716	0.16394373840383	0.0733828342	0.352736928474
GPR128	0	0	0.0343423	0	0.0328563	0
GPR132	12.6945	9.15004	13.0945	8.82219	16.206	15.7701
GPR133	0.211523	0.275034	0.118114	0.483501	0.112991	0.224958
GPR135	0.0597911	0.0503017	0.122207	0.202986	0.350826	0.116641
GPR137	2.902557	1.857669	2.0631181427	1.9420836	1.974887	2.322228
GPR137B	1.32119	0.489065	1.18852	0.753643	1.5508	1.75247
GPR137C	0.134425	0.0452385	0.165083	0.25574	0.26322	0.471827
GPR139	0	0.0767295	0	0	0	0.356009
GPR141	2.05226	0.863186	4.44377	1.7393	7.38279	5.76031
GPR142	0.0802661	0.13505	0.245869	0.108952	0.705936	0.156626
GPR143	0.322634	0.108571	0.659298	0.219041	0.252366	0.251775
GPR144	0.182907	0.0307766	0.149686	0.0994013	0.0716061	0.214026
GPR146	0.0621069	0.104499	0.190392	0.210837	0.121461	0.848139
GPR148	0	0	0	0.0603121	0.17366	0
GPR149	0.0460746	0.0387629	0.188454	0.0312929	0	0
GPR15	1.26098	1.06081	1.47085	1.95575	0.439938	3.33982
GPR150	0.0860062	0.289413	0.351183	0.0583645	0.0840296	0.16784
GPR151	0	0.0752353	0.0912798	0	0.174733	0.174534
GPR152	0.388969	0.261781	0.238321	0.316803	0.608223	0
GPR153	0.178956	0.0860353	0.183152	0.0868543	0.375464	0.79761
GPR155	2.234001699	1.5110100816	2.548890371414	1.6815880484506	3.44108893204507	4.02160633627
GPR156	0.27432304	0.06294084	0.15314677	0.05083318	0.4394894	0
GPR157	0.790321	1.08038	0.705534	0.603195	1.73657	0.771279
GPR158	0.0309338	0	0.0715552	0.0420463	0.0757454	0.060311
GPR158-AS1	0.0438736	0	0.066475	0.0595988	0.171716	0
GPR160	0.482954	0.316017	0.603391	0.29152	0.629857	1.04675
GPR161	0.2403102	0.139456	0.400488	0.205552	0.480392	0.678915
GPR162	0	0.0712542	0.0745751	0.247809	0.356846	0.142463
GPR17	0.092912	0	0.190011	0.0315517	0.56065	0.26394
GPR171	13.5944	10.6199	18.4816	13.1035	17.5074	19.5351
GPR173	0.169841	0	0.14241	0.232601	0.237253	0.231713
GPR174	2.32937	2.4118	6.58376	2.4317	10.0649	9.44156
GPR176	0	0.0193451	0.11773270187129	0.1509496	0.0675907	0.2773367
GPR179	0.0772194	0.0108281	0.0658941	0.0962179	0.0504264	0.225822
GPR18	12.09806	8.15281	14.11318	9.57868	17.47367	13.07659
GPR180	1.7098	1.3705	1.6208	1.28774	2.42181	2.79284
GPR182	0	0	0.358414	0.238184	0.0685999	0.136916
GPR183	8.05938	3.54423	8.61019	4.64294	6.62728	7.7422
GPR19	1.31557	1.10677	1.53632	1.99905	2.02147	1.71102
GPR20	0.0723868	0.0608971	0.295743	0.0982727	0.0707571	0
GPR21	0.20693	0.0580285	0.0704629	0.0936496	0.202295	0.134577
GPR22	1.63883	1.07905	1.0205	0.847081	3.06855	2.70969
GPR25	1.66277	0.0777116	1.69691	0.0626789	10.3768	0.540859
GPR26	0.0695098	0.00835459	0.0610176	0.0472456	0.126462	0.116153
GPR27	0	0.170377	0.103305	0.48061	0	0.395316
GPR3	1.17137	1.02832	0.937203	0.518798	1.54443	1.39079
GPR31	0	0.102437	0	0.0825736	0.475297	0
GPR32	0.354902	0.149281	0.090561	0.481651	0.260034	0.692611
GPR33	0	0	0	0	0.1041928	0.208322
GPR34	1.23638	0.661917	0.45953	0.915863	1.0993	0.986656
GPR35	17.709328	14.042131	8.1853540410787	27.543093	6.360551	18.81722
GPR37	0.0548355	0	0	0.130402	0.026843	0
GPR37L1	0	0.259722	0.464525	0.493969	0.420358	0.72558
GPR39	0.0375468	0	0.0565053	0.0323382	0.0734932	0
GPR4	0.762022	0.613	1.34656	1.13009	1.83273	2.02646
GPR45	0.0633532	0	0.194202	0.0860251	0	0
GPR50	0	0	0	0	0.052294	0.104287
GPR52	0	0.190044	0.0769022	0.306666	0.58878	0.146927
GPR55	0.519106	0.942437	0.643077	0.612593	0.347734	0.586038
GPR56	6.764756	0.989526	27.53737	2.577597	50.44707	18.91797
GPR6	0	0	0	0.045825	0	0.131697
GPR61	0.112557	0.0315653	0	0.178406	0.146877	0.219513
GPR62	0.294157	0.0412458	0.250626	0.0332954	0.0479619	0.0956274
GPR63	0.45749	0.3145867	0.785999	0.576487	1.08827	0.484459
GPR64	0.08843087076959	0.0547576	0.045258852941816	0.075113371669729	0.08659333891517	0
GPR65	9.0372	6.87297	10.5356	6.7189	14.3797	12.5192
GPR68	27.1757	27.5033	26.51587	30.5667	25.7164	28.98382
GPR75	0.199198	0.251378	0.268849	0.338201	0.243586	0.194274
GPR75-ASB3	0.0942309	0	0.689874	0	0.0488485	0.958805
GPR78	0.363831	0.243714	0.772546	0.649052	1.21732	1.251897
GPR82	3.03795	2.78411	3.56989	4.2194	3.51099	5.0241
GPR83	0.801887	0.525274	1.02435	0.610382	0.834022	1.45908
GPR84	0.512956	2.71251	0.823292	4.32749	2.14882	3.86045
GPR85	0.742206	0.324975	0.67177	0.567783	0.619168	1.541364
GPR87	0.0727517	0.122408	0.148615	0	0	0.283898
GPR88	0.0302955	0	0.0619991	0.123497	0	0.118156
GPR89A	11.79053	8.37232	8.63044	9.18232	13.71678	13.07377
GPR89B	6.94554	3.91954	9.31995	3.13931	7.29102	9.43581
GPR89C	0	0	0.454424	0.39143	2.49038	0.840118
GPR97	6.52379	1.90761	13.264	10.7002	8.05818	6.12894
GPR98	0.0105673716	0.0044453162	0.0216491918	0.057464848	0.0931818	0.113300465
GPRASP1	0.2248629	0.05984949851	0.565611	0.072514157246	1.14952835014	0.728155837459
GPRASP2	0	0	0	0.048307	0	0.128782
GPRC5A	0.268076	0.221731	0.717752	0.340705	0.259746	0.303909
GPRC5B	0	0	0.0380684	0.0505605	0.0728443	0.145155
GPRC5C	0.0597911	0.113696	0.183311	0.1450931	0.409297	0.116641
GPRC5D	0	0	0.681004	0.377469	0	0.434574
GPRC6A	0	0.0311374	0.0378595	0.0754243	0	0
GPRIN1	0.297303	0.0625326	0.405712	0.101006	0.291098	0.144929
GPRIN2	0.179055	0.100425	0.792942	0.121576	0.408573	0.232869
GPRIN3	4.8875	3.8525	9.32657	4.29267	13.3748	9.46585
GPS1	88.7727	86.7245	79.6244	91.0234	92.7239	115.0017
GPS2	88.0726	71.7725	104.215	88.2582	112.823	116.009
GPSM1	0.486836	0.3088	1.095132	0.6663473	0.78994	0.67609
GPSM2	2.95049	2.21424	2.44626	2.08001	4.12781	2.62963
GPSM3	37.7363	27.617993	40.5968	32.326948	44.6835	25.9018
GPT	0.17263	0.145232	0.117624	0.195364	0.337664	0.112253
GPT2	1.1352303	1.70983000817679	0.62126	4.25019	0.6977100392223	3.31772
GPX1	99.550041	110.949	72.1138	174.915351	63.777881	109.39
GPX2	1.042189	0.365186	0.886605	0.648269	1.361659	2.033428
GPX3	0.185864	0.469094	1.89926	0.50477	0.726984	0.241731
GPX4	504.97038	441.95329	519.96772	516.331648	515.21116	540.39855
GPX5	0	0	0	0.207533	0	0.327583
GPX6	0.063874	0	0.425363	0.173462	0.0626782	0.373839
GPX7	11.0347	9.90182	15.1091	8.92237	25.6896	21.3563
GPX8	0.807213	0.624467	0.893595	0.48275	1.03965	1.13632
GRAMD1A	8.71934	8.70367	6.70101	6.24843	8.92515	11.1039
GRAMD1B	0.422435	0.646184	0.117846	0.365216	0.187918	0.374482
GRAMD1C	0.369366	0.163873	0.6048152	0.1752698	0.88013	0.390864
GRAMD2	0.159766	0.0537661	0.261548	0.173667	0.125114	0.124624
GRAMD3	1.081	0.789742424143	2.56830255	1.244259	2.71559	3.092
GRAMD4	3.28249	3.06626	1.84973	1.91616	1.61019	2.22145
GRAP	18.0441	13.4782	19.8704	14.2957	23.2719	20.6332
GRAP2	38.7293	24.6308	33.7533	22.0935	53.3501	40.3474
GRAPL	0.624366	0.129645	0.974398	0.616577	0.58027	0.893116
GRASP	0.190778	0.374496	0.49302	0.452966	0.373081	0.756866
GRB10	0.206103	0.121382	0.180838	0.416275	0.276294	0.133198
GRB14	0	0	0.13734	0.0304063	0.175211	0.0873167
GRB2	89.245983	83.898652	96.532813	99.017625	94.9174	103.23727
GRB7	0.147078	0.0429985	0.836013	0.233068	0.419267	0.655737
GREB1	2.163704	1.5424193	2.792168	2.014562	3.599021	3.804534
GREB1L	0.0853009	0.0287069	0.174665	0.162316	0.133669	0.232838
GREM1	0.0266019	0	0.0544489	0	0.049363	0.155619
GREM2	0.565359	0.45509	1.11644	0.67734	1.66665	1.48092
GRHL1	0.78502	0.415845	0.208265	0.217295	0.483883	0.737058
GRHL2	0.0396279	0	0.101418	0.0673234	0.194038	0.231799
GRHL3	0.0483457	0.162694	0.160852	0	0.0842773	0.335982
GRHPR	43.076	40.9309	41.5352	44.6803	59.2307	67.8257
GRIA1	0.01889277	0	0.039864	0.0396937	0.0740176	0.0759257
GRIA2	0.0538926	0.0165534	0.091957	0.1155772	0.1776728	0.455334
GRIA3	0.1176597	0.01869476	0.1443578	0.1219452	0.0590113	0.0794614
GRIA4	0.3453229	0.1378601	0.06765340959899	0.155249	0.3528699	0.4907052943262
GRID1	0.040087	0.0944375	0.109246	0.068579	0.124075	0.273227
GRID1-AS1	0	0.0431075	0.052383	0.0695936	0.050123	0.199894
GRID2	0.0320546	0.0269683	0.0655942	0.0435545	0.12551	0.18753
GRID2IP	0.157092	0.0755239	0.275651	0.121996	0.285677	0.131274
GRIK1	0.0325819	0.164471	0.154351	0.1947723	0.287038	0.3118909
GRIK1-AS1	0	0	0	0	0.102467	0.204855
GRIK1-AS2	0	0	0.109306	0.072697	0	0
GRIK2	0.0679286	0.0381308	0.115883	0.1053359	0.0870199	0.21676
GRIK3	0.0333463	0.0280559	0.0910646	0.151098	0.0544434	0.108351
GRIK4	0.0737235	0.12405	0.263955	0.125203	1.69562	0.934555
GRIK5	0.0890702	0.124895	0.151904	0.121031	0.0581308	0.231588
GRIN1	0.0802283	0.0999559	0.0998863	0.160854	0.07854840568402	0.299104
GRIN2A	0.091739600133671	0.05343610240355	0.101193	0.08154620227927	0.0553115	0.20635800121905
GRIN2B	0.0173861	0	0.178	0.0827078	0.0170277	0.0338982
GRIN2C	0.268835	0.102809	0.550304	0.249096	0.263228	0.524205
GRIN2D	0.020357	0.0171271	0.0625168	0.166002	0.0797409	0.277845
GRIN3A	0.0132219	0.044497	0.108313	0.0269589	0.0647564	0.154667
GRIN3B	0.0646839	0.0544201	0.165453	0.109862	0.379902	0.0630705
GRINA	2.57593	2.90589	3.11126	3.53786	3.778746	1.37047
GRIP1	0.0827282	0.0870029	0.127028510694	0.11243409548	0.1822799902	0.1613042689
GRIP2	0.0258149	0.0866686	0.172141	0.0701193	0.0634709	0.200833
GRIPAP1	23.45007	18.47246	34.34236	26.29706	34.60097	38.00735
GRK1	0.102687	0	0.262446	0.0348675	0.0502247	0
GRK4	0.0987712	0.207741	0.454429	0.164326	0.18937	0.18878
GRK5	3.20431	2.76585	4.80939	2.37437	7.8593	4.1393
GRK6	23.94082	17.70542	17.19405	14.74578	18.03523	17.11141270712
GRK7	0.187589	0.157816	0.319474	0.297179	0.18343	0.609942
GRM1	0.0751261139045	0.050565527696	0.0759626	0.0510574899186	0.044150065626	0.0292942157281
GRM2	0.1683158	0.0263578	0.256445	0.1904872	1.152347	0.218891
GRM3	0.0489265	0.082327	0.050076	0.0831125	0.0479059	0.238506
GRM4	0.3510908	0.2043866	0.6600652	0.513702	0.348997	0.381945
GRM5	0.02615627892	0	0.080351778213	0	0.01547682188	0.06490572012
GRM5-AS1	0	0.0724809	0	0.102447	0.0588813	0.103072
GRM6	0.507973	0.370133	1.06122	0.593141	1.01175	1.37015
GRM7	0.0737649	0	0.102967	0.0512697	0.0738787	0.343305
