Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
FLJ42102	1.93934	1.28923	1.10603	1.35555	1.44416	1.37718	1.09083	0.722279	1.06612	2.02515	1.81977	0.927744	1.20143	1.6892	2.2332
FLJ42289	0.78069	0.446892	0.387914	0.87776	0.536229	0.807336	0.484295	0.261402	0.6573159	1.04061	0.878672	0.45074	0.5649593	0.6345452	0.955904
FLJ42351	6.08346	1.39399	3.235	2.34942	3.77027	0.848768	0.22333	0.403503	0.192897	1.254	5.16283	1.74749	1.06575	1.55317	7.58148
FLJ42393	2.42538	1.07561	2.66685	1.57221	1.34766	1.74641	1.76341	1.73022	2.41251	2.69365	2.06023	1.9138	0.977816	1.99465	2.94306
FLJ42627	5.16304	3.08451	3.18904	3.19837	4.06742	3.68597	2.03199	2.12148	1.63735	3.90161	4.78737	2.85405	2.80814	3.20273	4.98024
FLJ42709	0.966905	0.602818	0.625646	0.718711	0.5151314	1.118747	0.604841	0.346154	0.309245	0.942239	1.245611	0.413124	0.541518	0.502211	1.147436
FLJ42875	0.0206378	0	0.0252459	0	0.0503826	0.0455171	0	0.0442347	0	0.347645	0.13935	0.136192	0.0289919	0.3173836	0.0646641
FLJ42969	0	0	0	0.0724684	0	0	0	0	0	0	0	0	0	0	0.127374
FLJ43663	8.02592	1.19956	0.599616	1.205297	5.11862	3.5802	1.993493	1.008584	1.09386	5.557755	8.415314	1.313045	2.13412	1.61406	7.73619
FLJ43681	2.0267	0.998022	1.57366	1.05352	2.29823	1.89498	0.606864	0.812255	0.530139	2.1165	2.60242	0.795831	1.50321	1.72038	2.89859
FLJ43879	1.715	1.60164	1.05053	1.4943	1.76856	1.14705	0.733356	0.753436	0.644426	1.32674	2.15027	0.758021	0.769912	0.971051	1.66257
FLJ44313	0.151612	0.0694344	0.139006	0.169319	0.278072	0.0837051	0	0	0.0385948	0.124413	0.256077	0.0499995	0.10647	0.0778215	0.416438
FLJ44511	0.328063	0.0801245	0.160518	0.273908	0.694192	0.337688	0.255363	0.187498	0.311896	0.297004	0.492275	0.115459	0.276513	0.134785	0.411221
FLJ44635	0.172456	0	0.168677	0.0924703	0.168635	0.228449	0.040291	0.110805	0	0.113201	0.232996	0.0910078	0.242231	0.141647	0.324692
FLJ45079	1.59871	0.325375	0.296365	0.433573	0.788111	0.890098	0.301614	0.225037	0.31258	0.715112	1.05388	0.341061	0.3403	0.315204	1.51721
FLJ45340	11.2885	3.12853	4.90911	5.09376	7.95101	7.98082	3.88826	3.20933	3.47728	8.66789	10.7195	3.97623	3.71238	4.45609	9.96192
FLJ45445	0.187241	0.460449	0.413508	0.245517	0.270974	0.438367	0.186552	0.342981	0.140626	0.256524	0.53953	0.434173	0.0695907	0.200756	0.437455
FLJ45513	1.3868	0.533918	0.627924	1.14679	1.33859	1.5479	0.495777	0.402012	0.333053	2.43208	1.87713	0.631057	0.495609	0.431679	2.12719
FLJ45974	0.352226	0.201623	0.188497	0.0590784	0.215	0.0971154	0	0.0235906	0	0.144449	0.297301	0.0290538	0.0618497	0.180889	0.344934
FLJ46066	0	0.0805905	0.107532	0.0785696	0.107646	0.291588	0.0514072	0	0	0	0	0.116041	0	0.0451523	0.0690932
FLJ46257	0.018213	0.0333613	0.0891269	0.0162974	0	0	0.0425248	0	0.0371076	0.119494	0	0	0.0255863	0	0.0285258
FLJ46284	0.068447	0	0.0279077	0.0408171	0	0.150986	0.0532808	0	0	0.0374281	0.0513557	0.0602218	0.0641011	0.0234338	0.0357524
FLJ46300	0	0.0831245	0.111015	0.020296	0.332418	0.100101	0.0264931	0.0243136	0.0462238	0.0372212	0.0510718	0.119779	0.0637471	0	0.213327
FLJ46361	0.748673	0.331653	0.138026	0.226765	0.385971	0.993828	0.422811	0.159297	0.13511	0.322883	0.41198	0.288987	0.277874	0.283753	0.61355
FLJ46446	0.510115	0.0721552	0	0.315641	0.290093	0.174477	0.0921589	0.084138	0.150914	1.1001	0.355237	0.259423	0	0.121122	1.49004
FLJ46906	0	0	0.20605	0.0751547	0	0.561325	0	0.0901623	0.257628	0	0	0.22243	0.237023	0	0
FLNA	288.315	297.2901	291.963	264.7791	205.7608	203.9911	237.7948	244.5056	227.0604	225.46	169.8725	265.9806	251.5101	259.2208	167.2318
FLNB	6.353245497	1.0583241668	1.133766399	1.450060411	3.336111343232	2.73751300915543	0.760098016359892	0.64153592	1.01981902188	2.8118925306664	1.47152004287903	0.789849471	0.728431585	0.581888468	1.95653061478
FLNC	0.05806566608	0.030387401238	0.07106476215	0.111427184397	0.22248511682	0.144617	0.077442956345	0.08895862731	0.033810438896	0.054407144613	0.14929837611	0.120474566143	0.03496401143	0.059669205877	0.14275971183
FLOT1	158.613	119.899	112.965	143.895	85.1111	80.6832	122.702	113.784	125.719	88.566	85.1893	114.81	117.196	131.638	87.1203
FLOT2	125.802	56.7336	63.0502	62.6033	76.252	67.051	41.3394	39.4942	43.4985	84.5978	81.4159	48.2993	54.9799	62.6371	91.7683
FLRT1	0.236854	0.47725	0.55044	0.508441	0.578401	0	0.414852	0.279171	0.0482512	0.155423	0.319889	0.281321	0.199632	0.437875	0
FLRT2	0	0	0.0641401	0	0.102259	0.0231015	0.012234	0	0	0	0.0235851	0	0.0441825	0.0215415	0
FLRT3	0.11379	0	0.0928046	0	0.14616	0.22008	0	0.0213898	0	0	0.0898389	0	0.0280374	0	0
FLT1	2.314636	0.4839689	0.6356163	0.9416272	1.455565	1.0460343	0.6299462	0.4043789	0.4948292	1.3165878	1.116026	0.519991	0.6623222	0.6428312	1.508032
FLT3	0.0198937	0.0364403	0.0243364	0.017799	0	0.0877472	0.0464521	0	0.0202653	0.0652638	0.223872	0	0.0279469	0	0.0934916
FLT3LG	13.77232	21.14632	20.05579	19.71905	10.9217049	14.00118	18.60065	23.4903	25.7149	13.68475	15.27275	27.1903	33.483	32.3866	17.39623
FLT4	1.77873	1.3005163	1.2387	0.978436	1.1927	1.291679	0.765151	0.5231123	0.881615	1.1393234	1.2822665	0.486892	0.5258358	0.383941	0.9394096
FLVCR1	4.43872	2.90028	2.40656	2.41082	4.15709	4.42154	2.8326	1.72707	2.41535	3.15453	4.27079	2.24881	1.85552	2.42256	4.18915
FLVCR1-AS1	12.99099	5.77807	7.06822	11.5985	8.67918	6.2222200518835	4.55676	4.781613	5.908536	7.44038	3.264577	1.90104	1.842646	3.18388	2.291158
FLVCR2	0.13968	0.460563	0.136656	0.0187457	0.341246	0.801418	0.0978761	0.0449108	0.0853574	0.870862	0.1100533	0.147451	0.156964	0.114752	0.219001
FLYWCH1	9.63231	6.15021	3.643066	4.08351	4.812198	10.7518	5.285038	4.9617929	4.34942	6.03384	5.25546	4.214154	4.389856	4.37037	6.223519
FLYWCH2	49.281784	34.5537	36.82827621028	37.09138	35.48355	27.4520661	24.26948	23.39104	32.12804	33.67649	25.12909	22.4674	29.945450659	36.9997	37.12539
FMN1	0.215577	0.22555	0.137106	0.12635	0.203218	0.321071	0.0993914	0.0722167	0.0777541	0.304259	0.29613	0.273925	0.22435	0.193714	0.396172
FMN2	0.0469183	0	0.0430606	0.0630076	0.0858296	0.0517049	0.0547607	0.0251534	0	0.0577062	0.158353	0.0619412	0.0988768	0.0241035	0.128509
FMNL1	91.1974	49.8219	51.8803	61.5396	76.226	66.1888	39.7213	42.1466	45.4593	77.9407	70.7165	45.2884	47.7964	52.7502	78.175
FMNL2	0.108541	0	0.0332521	0.109306	0.198595	0.209354	0.0158366	0	0.0276461	0.311513	0.0305299	0.0895545	0.0381228	0.0975762	0.191155
FMNL3	20.13633	7.90361	11.26527	10.03879	11.40818	15.22598	10.25413	8.42185	11.16042	14.89699	12.78611	6.60275	9.45157249983	7.933271	12.9939
FMO1	0.0369559	0	0.045179	0.03302	0	0.0816074	0	0.0395695	0.112893	0.303251	0.0832232	0	0	0	0.231994
FMO2	0.14625	0.0535772	0.0357893	0	0	0.225687	0.0341428	0.0313574	0.0297998	0.0479714	0.0658205	0.0579182	0.0410932	0	0
FMO3	0	0	0	0.033967968764	0.09297759486	0.08396398575	0	0	0	0.123714	0.0856225574	0.2006138174	0	0	0
FMO4	1.0648	0.336309	0.0448877	0.0656149	0	0.891871	0.214474	0	0.0373884	0.180775	0.413426	0.193748	0.206281	0.452339	0.749095
FMO5	0.557807	0.145979	0	0.106776	0.0761224	0.481278	0.1193161	0	0	0.868847	0.332039	0.105112	0	0.0409	0.562948
FMO6P	0.110923	0	0	0.0660729	0	0.163297	0.0431955	0.0791786	0	0.242722	0.0832648	0.243879	0	0	0.0580277
FMO9P	0.418494	0.32859	0	0	0	0.264494	0.0699036	0	0	0.098183	0.269472	0	0	0	0
FMOD	0.20677	0.189381	0	0	0.378784	0.057027	0.12073	0	0	0	0.0581832	0	0	0.0796318	0.0405147
FMR1	6.14748070575619	2.071204	1.5796840623444	2.498992	2.669054220862	2.764050133683	2.17758924596791	1.671353	2.19425	3.124078	4.085524321453	2.3541630380951	2.3504110129883	2.624799	4.700173706766
FMR1-AS1	0.327366	0.169457	0.0718147	0.0524901	0.392944	0.347517	0.10604	0.255734	0.108202	0.192665	0.49179000761237	0.121925	0.224455	0.0914486	0.281399
FMR1NB	0	0	0	0	0	0	0.0965965	0	0.0839625	0	0	0	0	0	0
FN1	0.1804676	0.322217	0.46737825977	0.24708855495	0.221754475823	0.294182	0.4997147872	0.1439811	0.553191000136414	0.2982431549	0.277427	0.36428	0.242761	0.336402	0.384189
FN3K	0.282695	1.1394	0	0.201758	0	0.37511	0.132201	0.120944	0.517913	0.464218	0.509629	0.223621	0.158782	0.0580066	0.711361
FN3KRP	59.70263	36.750371	30.358638	31.46489	32.63337	24.83504	24.520835	28.33502	36.12436	36.494405	28.20676	25.79798	34.27064	29.08551	24.30843
FNBP1	31.1474	17.4273	16.737	20.7795	24.1029	22.0374	12.78	13.4174	15.03	22.441	28.3797	14.6385	16.4139	16.4132	26.8747
FNBP1L	0.1511	0	0	0.0507003	0.0691459	0.0416514	0.132303	0.038766	0.0921114	0.1549025	0.127662899	0	0.0398176	0.1140425	0.2366753
FNBP4	21.6066	14.676	15.7011	18.3213	16.749	19.2221	14.4852	12.424	16.2672	18.4958	19.9518	14.0514	13.8611	15.508	18.5043
FNDC1	0.0690412	0.0421538	0.0704058	0.133927	0.0841982	0.228251	0.0402904	0	0	0.0943504	0.103564	0.0303828	0	0.023646	0.0540284
FNDC3A	4.45323	1.51686	1.000004	1.3163843	1.518061	2.136063	1.195454	1.0987143	1.347512	2.52389	2.428696	1.480905	1.178959	1.195699	2.55424
FNDC3B	5.06026	4.03377000346606	4.0456269162	4.540238	3.8222418	3.95043	4.7352490472	4.75334	4.50574	3.28827	4.91449	5.95170966	7.61136	6.20274	3.09078311
FNDC4	0.0956677	0	0.0584528	0	0.117091	0.105715	0.11181	0	0	0.0785282	0.215518	0.0630804	0	0	0.225476
FNDC5	1.45644	0.702078	0.500014	0.5523874	0.249636	0.338253	0.238704	0.164256	0.286279	0.371903	1.2079	0.445818	0.394819	0.341139	1.24159
FNDC7	0.503892	0	0.0616294	0	0.184604	0.0555863	0	0	0.025662	0.124001	0.11343	0	0.0353913	0.0258752	0.157961
FNDC8	0.0601251	0.771075	1.02813	0.804352	0.589435	0.532012	0.632721	0.707243	1.65215	0.197486	0.271009	0.713337	0.928648	0.555106	0.56758
FNDC9	0.221735	0.135398	0.0903579	0.1651	0.0903658	0.32643	0.129522	0	0.188156	0.303251	0.499339	0.195006	0.259526	0.341456	0.347991
FNIP1	4.388105	2.073548	1.519830593181	2.13675000074169	3.90718000178539	5.74178	2.03767211436	1.76267389887	2.02616	4.84393	4.4584200217056	2.08044107992	1.98840138855	2.105890759369	6.047086
FNIP2	1.17557	0.62206	0.687274	0.596336	1.01964	0.633422	0.777545	0.840254	0.505703	0.299897	0.822959	0.77596	0.844148	1.43595	1.10412
FNTA	9.929677	7.24839	5.967287	7.88202	10.3707	7.38282	7.586658	5.749653	9.79126	11.92732	10.18812	7.75404	8.370964	9.257179	11.1006000048653
FNTB	0	0.811933	0.322836	0.206896	0	0.219435	0.385964	0.468889	0.608786	0.15646	0	0.153753	0.711806	0.321439	0.144334
FOCAD	13.1182	6.94107	3.97608	5.77682	5.97726	6.44208	5.20936	3.99194	4.77048	6.12417	8.7341	5.32853	4.86737	4.88001	10.2415
FOLH1	0.456259	0	0.0423271	0.118424	0.400756	0.129833	0.0404414	0	0.0599136	0.22152	0.389783	0.201838	0	0.0355441	0.0543189
FOLH1B	0.0434735	0	0	0.0596648	0	0.0883372	0	0	0	0.158682	0	0	0	0.0410547	0
FOLR1	0	0	0.110038	0.327809	0.221721	0	0	0	0.0917301	0.148262	0	0.356374	0.247173	0.369739	0.115948
FOLR2	0	0.27429451568454	0	0	0	0.331542701985	0.174088	0.07998034107903	0.228466017902318	0.49194970068784	0.50634919045713	0.588236	0	0.23025557003	0.47183519881152
FOLR3	0	0.564715	0	0	0	0	0.120307	0	0.104444	0	0.463694	0.135243	0	0.210467	0
FOLR4	0.471073	0.215815	0.143539	0	0	0	0	0	0	0	0	0	0	0	0.559343
FONG	0	0.163867	0.545549	0.0795775	0.439655	1.18964	0.20937	1.33671	0.636686	0.294006	0	0.706729	0	0	0
FOPNL	15.2095	11.771	7.02028	12.7715	10.1665	10.9601	9.95517	6.5242	8.70957	10.0291	9.82607	8.091	9.60743	7.51203	9.57314
FOS	1.20035	1.06613	0.755969	2.11261	2.31239	1.12447	0.764879	1.28528	0.740785	1.19389	2.1297	0.383878	0.459795	1.97918	1.08456
FOSB	0.584382	0.185496	0.400805	1.84827	0.747666	0.368254	0.260109	0.5237968	0.999224	0.265777	0.1879	0.275458	0.263872	0.686527	0.686656
FOSL1	2.4922	1.84382	2.28408	1.79699	0.35196	1.16514	1.79244	1.17956	1.26854	1.80966	0.431876	0.505623	1.07688	1.32799	0.376528
FOSL2	6.5988	2.03207	2.24631	3.93622	4.57535	4.80853	3.30487	2.54199	2.31866	3.20009	9.42739	3.40815	3.97676	3.51691	7.28034
FOXA1	0.0227175	0	0	0.0406419	0	0.0501119	0	0	0.0694209	0.037267	0.255673	0.0299815	0.0319127	0.0233331	0.0355983
FOXA2	0	0	0	0.0867777589	0	0	0.075600522	0	0.0329566672	0.053103134	0.072865828	0	0.0454558	0	0.203057
FOXA3	0.198362	0.0726761	0	0.0354396	0	0.0876241	0.0927043	0	0.0403947	0	0.268046	0	0.0557186	0.0407247	0.0622801
FOXB1	0	0	0	0.0494605	0.271611	0	0.129618	0	0.620681	0	0	0	0	0	0.174353
FOXB2	0	0	0.0769327	0.112338	0.308866	0	0	0.0673516	0	0	0	0	0	0	0
FOXC1	0.177968	0.162997	0.163268	0.0397996	0.706123	0.245349	0.0259746	0.0953547	0.181281	0.0729856	0.100145	0.117438	0.0312504	0.114245	0.209145
FOXC2	0	0	0.0580777	0.381864	0.116335	0	0	0	0	0.0780227	0.214131	0	0	0.0975489	0.074673
FOXD1	0.310562	0	0.126567	0	0	0.0761853	0	0.0739046	0	0.0566268	0.0777017	0.0455241	0.0484669	0	0
FOXD2	0.211269	0.119072	0.318137	0.218167	0.356914	0.429973	0.189711	0.278733	0.215233	0.213236	0.512012	0.171617	0.136987	0.200344	0.229034
FOXD2-AS1	2.82503	0.909889	1.78415	1.30429	2.04838	2.39829	1.55916	1.62928	1.86533	2.5979	2.79586	2.17089	2.31108	1.75322	2.14235
FOXD3	0	0	0	0	0.372295	0	0.0889292	0.0407484	0	0.0624629	0	0.10041	0.160362	0.117212	0.119474
FOXD4	0	0	0	0.182133	0	0	0.0418948	0	0.0365187	0	0.080758	0.0473106	0.0503701	0.0368184	0.0831447
FOXD4L1	0	0	0	0	0.0931219	0.10916	0	0.0407693	0	0	0.111068	0.0502309	0	0	0.0910001
FOXD4L2	0.1115138	0	0.0500046	0.0609482	0.272348	0	0	0	0.0588952	0.1084112	0.1146106	0.1144586	0.000973322	0	0.0776802
FOXD4L3	0	0	0.103276	0	0	0.156021	0.0825468	0	0	0	0.100893	0	0	0	0
FOXD4L4	0.1115138	0	0.0500046	0.0609482	0.272348	0	0	0	0.0588952	0.1084112	0.1146106	0.1144586	0.000973322	0	0.0776802
FOXD4L5	0.371713	0.226966	0.160925	0.121896	0.181565	0.257063	0.20256	0.0531027	0.0588951	0.108411	0.687663	0.228917	0.242285	0.203605	0.15536
FOXD4L6	0	0	0	0.0843357	0	0	0	0	0	0	0	0	0.119209	0	0.089189
FOXE1	0.0221659	0	0	0.0793134	0.162364	0	0.0517621	0	0.0903147	0.0363614	0.548812	0	0.0934141	0.0455339	0.243123
FOXE3	0.0796868	0.0729895	0	0	0.0974544	0	0	0	0	0	0.269203	0	0	0.1227	0
FOXF1	0.0606871	0.0555843	0	0.162756	0	0.133945	0	0.065003	0.0309027	0.149365	0.0683174	0.24022	0	0.124632	0.0475873
FOXF2	0.14345	0	0	0.0320458	0	0	0.251369	0	0	0.0588538	0.161516	0	0	0	0.056276
FOXG1	0.0720018	0	0.0293557	0.0429329	0.234447	0.158842	0.0840756	0.0257165	0	0.209536	0.162075	0.126694	0.0337146	0.0492998	0.338526
FOXH1	0.190033	0.147722	0.210006	0.283641	0.219045	0.520205	0.0812001	0.167621	0	0.370033	0.52086	0.247871	0.273416	0.263915	0.620308
FOXI1	0	0	0	0	0	0.0752001	0.0916212	0.0419774	0	0.193059	0.153397	0.0517208	0.0550689	0	0.213759
FOXI2	0.0726622	0.0887343	0.118499	0	0.118301	0	0	0.0519041	0.0246706	0.0397347	0	0.127856	0.102071	0.0248758	0.227759
FOXI3	0	0	0	0.115976	0.478477	0.431813	0	0	0	0	0	0	0	0.0667136	0
FOXJ1	0	0	0.0719106	0.07886	0.215526	0.0648906	0	0.031495	0	0.0482428	0.0661963	0.0775919	0.2478	0.271732	0.322746
FOXJ2	3.34037	2.32606	1.65519	2.40936	3.8389	2.37335	2.14285	1.7758	2.46102	2.76176	2.42269	1.74928	1.90044	1.85776	2.80914
FOXJ3	8.879007425012	4.027598	3.38937	3.2784155	5.898086	5.187621792	3.317465	2.537977	1.6833271	4.75646	5.230087	2.89479458	2.530853	2.90918	4.874725
FOXK1	9.05577	6.00261	6.00704	6.15703	6.68973	6.3436	5.14139	4.6159	5.24771	7.09117	7.68164	4.92963	4.35593	5.37007	8.46487
FOXK2	12.6526	9.65002	8.89438	9.97243	9.02555	5.77525	4.9062	5.41651	6.77525	5.92543	6.25147	6.65062	5.66235	6.40339	6.4452
FOXL1	0	0.0441934	0	0.0431566	0	0	0.0563433	0.0258505	0	0.118737	0.108615	0.127355	0.0338906	0	0.0756218
FOXL2	0	0	0.0323915	0.023684	0.064695	0.0584393	0.0618584	0.0283747	0	0.130357	0.0596225	0.0698995	0	0	0
FOXM1	30.67266275793	24.996093338	33.1322081	27.64777	25.9091297	14.0982320305971	18.9747383775	17.583960499416	21.730857	15.874466826	11.6251334	19.1612	21.85776112075	21.57442227282	9.1116001103042
FOXN1	0.0287508	0.157999	0	0.0257054	0.0702451	0.126898	0	0	0	0.141518	0.258911	0.113811	0.0403849	0.0295239	0.135245
FOXN2	5.33314	2.86718	3.35605	2.80232	3.27808	3.20628	2.16665	1.70787	1.51009	2.11277	4.67561	2.35896	2.72458	2.7752	5.00942
FOXN3	15.02349	6.91982	6.71104	7.22449	7.00056	7.55605	6.54658	5.85537	6.96273	8.4356	11.53325	7.18963	8.74519	10.20851	11.85529
FOXN3-AS1	2.3306	1.42339	0.568939	1.10704	2.861	2.5812	1.81793	1.24491	1.50159	1.27651	1.57667	1.12591	0.545288	1.19472	1.83689
FOXN3-AS2	0.651012	0.238545	0.159	0.0580387	0.798168	0	0.228405	0.208791	0	0.320793	0.44023	0.257419	0	0.200317	0.102481
FOXN4	0.0458293	0.0419744	0.0560574	0	0.167861	0.0505475	0.0267561	0.0245544	0.0700229	0.338315	0.0515787	0.0302415	0.0643791	0.117677	0.17954
FOXO1	5.58561	3.08864	3.12723	4.2336	4.98119	7.37574	4.47454	4.70326	4.28153	9.65719	3.67571	1.913	2.7947	2.55808	5.2998
FOXO3	13.102180429	1.8139418	2.4566865308	2.9604207756	4.443061	5.968980204323	2.37799	1.8621920649	1.9805799	8.15336	8.77795223	2.4984382	3.1098165	2.679225	8.097014184
FOXO3B	1.914	0.866862	0.523099	0.689418	0.639482	0.307351	0.218239	0.128941	0.362161	0.242451	0.898661	0.528051	0.490441	0.390397	0.902942
FOXO4	1.088152	0.354357	0.47707892647	0.554103	0.67228	1.12027	0.4554184652	0.319603	0.197042	0.978569	1.143075	0.45418500103158	0.54349	0.659809	1.51001
FOXP1	31.643816	8.243618	9.356509	11.9035541	22.0301682742456	20.3963374635547	8.966837	7.368432	11.660634	24.4853490025891	23.137084	10.1667465184	10.83318	11.250768	28.255886
FOXP2	0.700414	0.476395	0.29606	0.1796293	0.297618570077	0.352208999219	0.192811545863	0.226435	0.174578	0.4838068	0.434944	0.24306498366	0.0372346032748	0.145212	0.365558
FOXP3	0.0687251	0	0.160509	0	0	0	0.04022	0.0369209	0.174962	0.338338	0	0.0453339	0	0.211994	0.108079
FOXP4	1.55348652	1.3733954	1.20463	1.1569645	2.47695	2.822447	1.59084100342658	1.2195	1.356756	3.8133312	3.52972	1.511363	1.818445	1.6084601347083	3.3058609349
FOXQ1	0	0.0617422	0.0412095	0	0.0823892	0.148819	0	0.0360949	0.0686462	0	0.303573	0.0889337	0	0.103816	0.264388
FOXR1	0.287768	0.39543	0.0878309	0.448721	0	0	0.0841569	0	0	0	0.162201	0.0948032	0	0	0.453334
FOXR2	0	0	0	0	0	0	0	0	0	0	0.0624902	0	0	0	0
FOXRED1	34.583547	24.64590991209	19.1456500109394	28.80672	20.0452	16.73244	22.04743	19.64664	23.3766	19.01271	12.92853	15.34509	20.16306	26.2664	15.194158
FOXRED2	1.863118587	1.5323	1.74749000066668	1.72964	1.59423935	1.567791158	1.409983278	1.246494157	1.661984044	1.783628812	1.396248917	1.655805425	1.71844218	1.66023	1.08617947
FOXS1	0.12398	0	0	0	0.151958	0	0	0	0	0.101812	0.139716	0	0.0870393	0.254351	0.0975507
FP588	0.714634	0.264623	0.25332	0.262421	0.288296	0.324567	0.239779	0.313207	0.283593	0.704716	0.504298	0.173312	0.411514	0.331885	0.578528
FPGS	81.4261	61.55969	72.1481	86.3422	42.8468	53.9783	56.99591	61.96607	64.34889	60.1566	62.0588	59.92242	59.86423	76.68247	50.561
FPGT	1.330921	0.731738	0.664136	0.717635	0.7562070304866	0.724588	0.6767032	0.36366900252815	0.510771	1.11292	2.56361	0.367657356777	0.25921	0.497242	0.967912
FPGT-TNNI3K	0.0812956	0.0594306	0	0.05633	0.147052	0.185391	0.103153	0	0.0976271	0	0.303712	0.131495	0.0364266	0.04191	0.188783
FPR1	0	0	0.0757736	0	0.152086	0	0	0	0	0.203794	0.139834	0.0817821	0	0	0.0976331
FPR2	0.0413589	0.227299	0	0	0.101176	0	0	0	0	0.128706	0	0	0	0	0.0649395
FPR3	0.27823	0.113261	0.0378021	0.138176	0.0755478	0.0682354	0	0.0331119	0	0.101452	0.208812	0.122368	0.0868461	0.0317436	0.193942
FRA10AC1	17.4442	7.4537	8.72548	7.64741	13.4624	12.4097	6.2508	4.19688	6.75981	12.336	12.8497	6.10182	5.51119	6.53952	15.1343
FRAS1	0.1772457	0.0349528	0.1344319	0.0299145	0.0254276	0.0689328	0.0167002	0.01118	0.0106233	0.10258476	0.0907429	0.0314982	0.0268129	0.0196116	0.0631053
FRAT1	1.72719	0.321753	0.250592	0.732829	2.7896	2.51969	0.27352	0.282223	0.208702	1.48901	2.19263	0.231763	0.616803	0.30373	3.16746
FRAT2	5.93721	1.36767	2.26019	1.93793	3.12916	4.31746	2.4919	3.08363	2.17217	4.31745	5.98289	1.92296	1.29829	2.62422	5.46713
FREM1	0.226949	0	0.0454265	0.0136683	0.0361967	0.06733547	0.017826325	0	0	0.0852023	0.0501005	0.00980131	0	0.0152563	0.147498
FREM2	0.33141	0.162186	0.0855996	0.120839	0.0800397	0.206412	0.118976	0.0750022	0.0858083	0.153859	0.208719	0.110244	0.0851198	0.081093	0.182189
FREM3	0.147932	0	0.0278504	0.0713161	0.0277547	0.0250799	0.0664063	0.0122014	0	0.0373218	0.0512079	0.0600925	0.0479625	0.0350762	0.0356193
FRG1	55.3632	50.4157	42.1486	47.365	36.6109	44.0241	38.5028	37.3252	42.3937	44.7075	43.527	37.5586	42.9147	51.8886	37.9619
FRG1B	29.2077	10.1841	13.0641	13.3747	25.3179	25.2811	10.0713	8.24028	9.8503	21.434	26.6734	10.8696	12.1987	11.7047	27.1914
FRG2	0.709457	0.278795	0.251563	0.247129	0.676967	0.379124	0.257326	0.202684	0.176093	0.461497	0.822696	0.114877	0.190272	0.142554	0.549166
FRG2B	0	0	0	0.117167	0	0.252752	0	0	0	0	0.265733	0	0	0	0
FRG2C	0.0556974	0	0.231309	0.0716142	0.232503	0	0.277135	0.078145	0.0833922	0.0887676	0.50311	0.107208	0.122704	0.202974	0
FRK	0.81439	0	0	0	0	0.0599012	0.0317021	0	0	0.0445381	0.183337	0.0358215	0	0.111511	0
FRMD1	0.0809929	0	0.132071	0.0482826	0.395702	0.178717	0.0630567	0.028923	0	0	0.121555	0.0356255	0	0.0277253	0.199634
FRMD3	0.283007	0.315961	0.156565	0.0863105	0.306735	0.425931	0.1042235	0.0807912	0.1536706	0.153744	0.190157	0.131323	0.0210355	0.0525641	0.1829065
FRMD4A	0.3432	0.141949	0.108384	0.337013	0.16201	0.463594	0.271345	0.142452	0.1128	0.726201	0.622745	0.233858	0.0933258	0.19338	0.450487
FRMD4B	5.02461	2.58439	1.72637	1.8557	4.00433	4.8877	3.04176	2.19172	2.83091	6.3516	8.90927	3.30695	3.70147	4.28948	9.42174
FRMD5	1.15217	1.40708	0.213432	0.561614	0.512136	0.308348	0.36707	0.149551	0.177769	0.343776	0.15724	0.322426	0.245194	0.107538	0.273911
FRMD6	0.0452941	0.0388888	0.0192408316	0.0134355	0.152712	0.561913	0.146856345	0.204764568	0.0648785	0.174129	0.430062	0.0840601	0.0659433	0.08077835	0.2458272
FRMD6-AS1	3.96453	1.76581	1.71876	1.38143	4.33513	2.95996	3.30123	1.63162	0.99505	6.01936	4.73124	2.94323	1.65602	2.18506	6.17386
FRMD6-AS2	0.162187	0	0	0.309051	0.432948	0	0	0	0	0.267246	0.395526	0.213172	0	0	0
FRMD7	0.0240318	0.044021	0	0	0	0.0530163	0	0	0	0	0	0.0317147	0	0	0.037663
FRMD8	20.1592	12.1199	7.59598	12.1048	10.9663	9.54462	7.53674	8.11758	8.66897	12.6292	8.86618	8.80698	9.31418	8.50952	10.0824
FRMD8P1	0.81634	0.404899	0.491175	0.391536	0.883148	0.695646	0.545252	0.119143	0.229078	0.53588	0.829563	0.295565	0.316866	0.319163	0.293991
FRMPD1	0.246943	0	0	0	0.0376591	0	0.0180162	0.0330904	0	0.0253131	0.0694632	0.183361	0.0216829	0	0.169162
FRMPD2	0.1674022	0.1809812	0.0473248	0.0747577	0.0441112	0.1849	0.0352376	0.064723	0.0153773	0.123774	0.101897	0.1104	0.021205	0	0.212691
