Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
SMG1P1	575.566	161.084	216.631	502.573	200.312	316.081	332.007	182.947	277.044	391.748	277.295	276.553	259.063	343.3	375.865
SMG5	1876	723	1400	1719	405	437	1164	1169	1541	820	467	953	867	1540	731
SMG6	1178.0000100175	330.99946	612.9998	884.00012	236.9999496	419.99945	417.99974	531.00009	628.00012	623.00052	295.0004	449.0003	467.9997	752.0002	538.9996
SMG7	513.9995	298.9997	304.9996	669	208.99994	204.0003	415.0002	319.0003	466.99931	257	190	267.0003	331.00000151277	479	301.9998
SMG7-AS1	51.2555	20.2646	21.3886	55.8891	20.8255	27.4484	25.6675	25.9417	29.3161	37.4346	15.7321	21.6351	28.4332	20.6519	27.2839
SMG8	268	90	130	146	67	64	61	74	120	88	42	85	68	181	62
SMG9	1174	485	854	1072	409	424	851	674	827	689	391	751	787	1092	526
SMIM1	1	0	0	0	0	0	1	0	1	0	1	0	0	3	9
SMIM10	14	15	9	39	6	1	21	18	18	18	3	5	3	14	6
SMIM11	405.91	188.438	267.769	477.946	118.826	60.5957	104.502	80.9246	120.617	80.2489	54.9533	84.7876	87.281	171.586	86.0064
SMIM12	2010.684	605.49965	886.1589	1744.347	531.33761	459.4128	951.468	997.6927	1253.6313	769.3958	512.0919	901.202	861.8641	1378.9463	687.8903
SMIM13	61	36	90	71	42	28	71	50	108	37	17	41	48	58	14
SMIM14	152.235	16.2993	9.52298	24.766	39.7536	45.5828	21.3438	18.0682	22.9615	43.1988	85.6382	22.1836	25.1449	38.0422	98.5649
SMIM15	469.463	195.538	196	301	107	99.5611	241.585	206.493	276	193.666	101	167.65	174	209.704	240.806
SMIM16	34.828	9.14019	15.1718	25.6906	8.14327	11.2612	9.22367	8.98714	15.2614	28.7466	11.5957	10.1347	9.99335	14.9917	14.9274
SMIM17	78.4876	29.2236	41.6435	46.7534	24.7014	30.7575	33.4116	22.003	33.1419	38.1407	22.7726	19.2532	26.9991	35.1028	39.0579
SMIM18	50	2	8	10	6	7	3	6	11	9	5	5	5	12	14
SMIM2-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM3	2347	595	718	950	489	598	823	951	1078	845	449	697	737	1108	732
SMIM4	98	58	117	133	34	32	78	95	110	49	16	48	62	91	49
SMIM5	74.4602	15.1081	50.2524	19.7063	15.17873	29.3886	30.50719	34.8579	38.85202	36.55419	27.1627	25.46979	10.5721	24.69994	16.0471
SMIM6	9	3	4	15	0	2	9	0	0	1	11	0	3	5	2
SMIM7	1044	419	502	801	235	288	530	498	716	331	346	454	517	728	497
SMIM8	89.00001	32	50.00002	67	16	27.00001	34	29	65	37	28	37	27	43	33
SMIM9	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
SMKR1	4	4	4	11	2	3	12	8	3	2	4	13	5	9	11
SMLR1	0	0	0	4	1	0	0	0	0	0	1	1	0	0	1
SMN1	467.818049107536	317.585	136.41816572	658.20364	130.8619	135.9251	429.5067	346.821918521	366.8424	0.371905	67.0625	147.717936284	233.55500213413	264.06341856	129.09665
SMN2	192.18158748	156.41539	332.58149888	215.796059	38.138072	73.07493	146.49334999005	179.17780190402	317.157657	247.628100513458	29.93742	126.282002972892	88.445040896802	168.9368058475	36.9033472328
SMNDC1	220	84	135	193	66	79	114	127	122	84	49	88	82	142	94
SMO	1	0	2	0	1	4	1	1	1	2	2	2	2	2	3
SMOC1	10	0	0	0	2.999998	1	1	0	0	1	0	7	0	6	1.999996
SMOC2	0	0	0	0	1.0000002173	2.0000021387	0	0	1.9999955607	0.999999886	7.999997973	1.00000019721	0	0.99999982635	0
SMOX	111	15	30	48	11.999974577	20	43.0000000112564	72.999999364	107	45	37	35.99998	32	113	66.00003
SMPD1	362.99967	114	150.9996	209.0002	117	152	134.0002	161.999712	203.0004	162.9996	184.9999	153	176.0002	313.0002	252.0000878
SMPD2	225.756	51.8604	76.7957	288.378	71.8749	54.3684	88.0516	81.2388	126.759	65.0084	31.5694	37.6444	56.6644	69.4739	47.7337
SMPD3	74	29	25	75	45	69	58	49	79	97	43	72	97	112	81
SMPD4	1407.5495	1018.467262997	1072.389	1933.3829	510.3928000248	463.971313640189	1156.765	1249.46154522852	1332.3946661709	767.173	298.432300045633	998.63800292562	1043.15872348007	1278.897726341	560.9891
SMPDL3A	1	1	1	0	5	4	1	0	0	2	4	1	2	4	2
SMPDL3B	6	6	2.00094	3	5	2	1	0	1.0285	3	3.00339	6.00208	8	0	3
SMPX	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SMR3A	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
SMR3B	0	0	0	0	1	2	0	0	1	0	0	0	0	0	3
SMS	2721.0005	1570.998	2074.9951	3700.0015	1922.004	1492.0004	2280.0015	2449.0048	2944.996	2895.0018	529.0003	1153	1303.9962	1748.9951	925.0001
SMTN	385	181	173.0001474	538.9998	108.999978813	88.99995	245.9998	206.9997	226.99960839488	133	80	161	143.99989	194.0001	69
SMTNL1	1	2	3	19	6	11	6	11	11	16	14	5	6	9	20
SMTNL2	1	3	2	1	5	2	1	1	0	1	1	4	4	1	4
SMU1	1025.34	369.531	535.262	803.33	318.521	383.033	474.406	439.533	645.745	474.917	299.199	389.636	412.979	628.776	419.035
SMUG1	381.9952	140.2693	235.853700050347	316.3804036	146.8874	134.40668	140.1332	192.29003	243.21791	222.71055	121.444911	154.6358167895	222.99719	232.75376	225.48703
SMURF1	215.0000402033	55.9999257567	99.000000151769	159	69.0000321949	70.0000024398	128.000000010446	102.000093781424	134.0000433405	84.0000419948	78.000012994	93.0000443171	126.000021802	164.0003	134.00000218633
SMURF2	201.856	30.1904	40.221	84	36.5562	70.6072	51.8474	35.0785	74.7602	112.764	128.626	61.6388	48.9685	86.5386	177.511
SMYD1	2	0	4	6	1	0	1	1	0	2	4	0	0	0	3
SMYD2	137	50	56	126	57	78	149	78	154	148	51	133	112	184	75
SMYD3	258.9998	126	143	243	80	95	210.9999	172	156.0004	149.9996	112	156.0004	153	170.0005	130
SMYD4	533.906	206.792	305.775	505.719	204.48	174.987	301.838	254.859	336.196	253.87	224.053	265.758	289.277	379.799	329.123
SMYD5	163	208	335	497	72	59	258	258	406	130	28	194	204	297	60
SNAI1	4	4	4	2	1	1	2	4	3	1	1	0	0	4	0
SNAI2	0	0	0	4	2	0	0	0	1	1	1	0	1	0	1
SNAI3	171	17	25	54	34	47	25	23	19	43	44	28	18	42	134
SNAI3-AS1	47.00001	8	7	58	12	20.99999	29	35.99999	46	36	30	21.00001	14	37	30.99997
SNAP23	659.8562	192.7644	183.7141	366.9431	188.818	228.264	309.7567	227.0747	369.397	371.8327	243.729	218.39563	213.7115	238.5523	265.4858
SNAP25	1	2	0	28	3	1	1	2	0	0	4	0	0	2	4
SNAP25-AS1	10	0	2	2	1	0	1	1	1	4	2	3	0	2	0
SNAP29	675.749	264.031	360.765	591.52	189.45	307.951	437.858	462.086	490.732	420.941	255.273	354.398	353.198	452.699	405.016
SNAP47	624.607	273.922	324.275	549.541	139.67	164.517	383.274	418.15	556.796	237.926	177.6	269.971	331.989	584.731	326.329
SNAP91	3	0	0	4	3.9999964	1	1	0	0	1	0	1	1	1	4
SNAPC1	215.215	132.758	137.755	254.402	56.8273	97.2771	121.621	173.283	160.841	109.146	90.393	98.7219	81.9258	149.835	121.695
SNAPC2	764	288.0001	310	527.0001	164.0002	174	412	364	454	247	129	318	293	499	179.0004
SNAPC3	269.096	75.9061	76.3168	90.2057	86.9979	97.3659	77.9801	108.074	138.826	138.842	88.0166	75.1756	109.045	94.8024	124.818
SNAPC4	195	140	227	386	73	73	196	233	218	144	70	200	138	289	89
SNAPC5	211.234	70.5597	107.17	194.105	74.4397	61.9066	77.5347	140.844	164.637	121.947	65.138	98.9497	111.247	161.767	72.3388
SNAPIN	720.9995	161.00024	207	359	133.99997	160	250.99988	219.99955	330.0005	219	133.00012	232.9997	195	279.9999	267.00001
SNAR-A1	0	2.97734e-08	2.14834e-08	2.64548	1.990574	3.26868	0	0	0	3.91328	0	0	0	0	0
SNAR-A10	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A11	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A12	0	0	0	0	0	0	0	0	0	0	0	0	0.608978	0	0
SNAR-A13	0	0	0	0	0	0	0	0	0	0	0	0	0.608978	0	0
SNAR-A14	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A2	0	2.97734e-08	2.14834e-08	2.64548	1.990574	3.26868	0	0	0	3.91328	0	0	0	0	0
SNAR-A3	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A4	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A5	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A6	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A7	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A8	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-A9	0.5	1.1	1.7	0.570904	0.201885	0.446265	1.8	0.9	0.9	0.417345	0.3	2.3	0.978204	2.7	0.3
SNAR-B1	3	8.9401	12	16.30864	4	1	8.79308	4	9.44444	1.5	0	13.36702	7.5	49.7698	1.936362e-07
SNAR-B2	3	8.9401	12	16.30864	4	1	8.79308	4	9.44444	1.5	0	13.36702	7.5	49.7698	1.936362e-07
SNAR-C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427263	0
SNAR-C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427263	0
SNAR-C3	0	1.11979	0	3.38272	0	3	1.36129	1	0	0	1	1.16605	0	21.8456	1
SNAR-C4	0	0	0	0	0	0	0	0	1.11111	5	3.28167e-08	3.09992	0	33.3264	0
SNAR-C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.427263	0
SNAR-D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-E	0	1	0	0	1	0	1.05256	1	0	1	0	0	0	1.00644	1
SNAR-F	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SNAR-G1	0	0	2	1	1	0	0	0	0	0	0	2	3	0	0
SNAR-G2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
SNAR-H	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-I	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
SNCA	116	29.00002	19	105.99956	32	2	1	1	10	5	28	31	23	32	33.00004
SNCAIP	1	0	1	7	2	1	2	0	0	0	5	0	2	3	1
SNCB	0	0	3	1	1	2	0	0	1	0	1	0	0	3	0
SNCG	0	0	0	0	0	1	5	1	0	0	1	5	0	12	0
SND1	3023	1762	1860	3581	1033	970	2059	2091	2479	1410	901	1779	1718	2346	1144
SND1-IT1	135	36	43	76	35	14	32	26	41	37	31	40	23	53	33
SNED1	51	11	7	5	20	19	6	9	7	27.0675	28	15	9	10	42
SNF8	544	273	520	601	182	181	373	406	371	271	136	373	335	515	250
SNHG1	285	260	468	820	92	60	357	382	469	103	47	261	301	396	80
SNHG10	129.8785	47.2412	128.3879	100.3265	57.7142	44.391	74.759	87.7968	118.5539	55.3531	37.9163	62.656	71.82	95.4198	56.4981
SNHG11	133	18	36	116	21	40	28	42	38	44	37	18	41	46	64
SNHG12	323	207	409	579	76	88	292	360	448	121	78	163	204	361	119
SNHG15	240	396	783	1420	114	103	518	668	775	167	40	388	406	609	91
SNHG16	749.85699098	716.0366	1214.99043024	1454.535	225.724416	191.603	845.256373	834.64124	1103.7924	263.152	139.367541078289	489.887	518.338	739.1346	269.0182
SNHG3	469.615	740.6948	933.296	1698.518	206.8179	133.0908	590.662	642.384	801.334	250.104	117.7629	468.1476	527.4508	830.114	183.2696
SNHG4	101.6634	28.0055	56.8221	68.3136	42.2215	32.8623	56.22	23.88064	54.3758	34.21	27.9745	41.2493	38.5726	42.9857	48.6328
SNHG5	3954	2029	3774	4686	2016	960	1519	1913	2080	1293	774	977	973	1588	1263
SNHG6	872.997	304.998	576.997	764	254	320	450.998	588	736	441.997	295	315	308.998	466.995	446
SNHG7	354.8272	161.43143	251.22702	320.2909	80.81958	89.49102	241.09	203.3342	274.26329	75.9942	52.9344	145.9922	120.4544	203.91636	83.07429
SNHG8	420.001	290.9996	541.0001	803.9991	178	161	410.9998	478.0002	622.0005	221.0005	110.9999	291.9995	281.9998	469.0004	178
SNHG9	69	47	68	104	31	34	57	77	124	57	47	41	45	104	41
SNIP1	307.8	119.739	174.369	171.768	88.6471	101.59	150.699	111.72	170.088	122.098	135.923	118.086	104.808	151.06	111.991
SNN	25	1	0	18	16	7	7	4	3	2	6	6	25	7	3
SNORA1	3	0	0	0	1	0	1	2	1	4	0	2	0	0	1
SNORA10	11	12	33	32	5	2	13	10	13	4	4	9	10	16	1
SNORA11	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1
SNORA11B	2	2	4	4	1	1	1	0	1	0	4	2	0	0	3
SNORA11C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA12	10	2	0	3	2	1	2	1	1	1	1	0	0	0	6
SNORA13	1	1	0	0	1	1	1	1	3	2	0	0	1	2	0
SNORA14A	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0
SNORA14B	1	0	2	2	1	0	0	1	0	0	0	0	0	0	0
SNORA15	10	0	1	0	0	1	0	0	0	0	1	0	0	0	0
SNORA16A	8	2	5	15	4	4	7	7	16	0	4	4	3	7	4
SNORA16B	2	1	1	1	0	1	0	1	1	1	0	0	1	1	5
SNORA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA18	7	9	12	19	5	3	19	17	8	7	0	9	11	14	6
SNORA19	1	2	0	0	1	0	1	0	0	0	0	0	1	1	0
SNORA20	1	0	2	2	1	0	0	0	1	0	0	0	1	1	0
SNORA21	4	2	1	7	3	1	4	4	6	3	1	3	1	10	1
SNORA22	3	0	0	6	1	2	1	1	3	3	4	2	2	2	3
SNORA23	2	0	1	9	0	0	1	0	0	0	0	2	0	0	0
SNORA24	7	4	4	14	3	0	4	5	10	2	1	4	6	7	3
SNORA25	10	5	12	17	0	3	4	9	10	7	4	7	6	11	1
SNORA26	10	2	3	4	0	1	3	2	0	0	1	2	1	5	3
SNORA27	7	4	4	4	0	4	0	5	9	0	5	6	3	4	0
SNORA28	0	0	1	0	1	0	1	1	0	0	1	0	0	0	2
SNORA29	2	0	0	0	0	1	0	0	1	1	0	0	0	1	0
SNORA2A	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
SNORA2B	3	0	0	3	0	1	0	0	1	0	0	1	1	0	0
SNORA3	1	3	4	8	0	2	1	2	3	1	1	1	1	3	2
SNORA30	0	0	1	0	0	1	0	0	1	0	2	0	0	1	0
SNORA31	5	8	3	6	6	3	9	4	6	4	1	8	5	0	3
SNORA32	12	6	6	7	2	0	3	5	13	5	5	4	0	2	2
SNORA33	9	5	2	7	3	3	12	9	4	3	2	4	5	4	3
SNORA34	1	0	1	0	3	0	1	0	0	2	0	0	0	0	0
SNORA35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA36A	0	0	1	0	0	0	3	1	2	0	0	2	2	0	3
SNORA36B	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SNORA36C	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
SNORA37	2	1	0	2	2	2	0	1	3	0	1	1	0	1	4
SNORA38	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0
SNORA38B	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SNORA39	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0
SNORA4	5	1	2	1	1	0	1	1	2	2	0	0	4	0	0
SNORA40	15	12	17	12	9	5	24	9	17	11	8	7	11	16	11
SNORA41	0	2	2	3	0	4	5	7	1	0	0	3	4	1	1
SNORA42	4	1	1	2	3	0	1	2	1	0	1	2	1	1	1
SNORA43	0	0	1.01099	0	0	0	0	0	0	0	0.499947	0	0	0	0
SNORA44	14	2	7	12	1	2	2	5	16	2	3	5	5	5	8
SNORA45	6	3	6	8	3	3	5	3	6	0	0	1	2	5	1
SNORA46	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0
SNORA47	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
SNORA48	11	1	5	5	3	3	3	4	3	2	0	1	5	7	3
SNORA49	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
SNORA50	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
SNORA51	5	1	6	4	0	0	1	0	0	1	0	2	0	0	2
SNORA52	11	7	11	15	2	1	2	16	4	4	1	3	2	9	3
SNORA53	9	0	3	3	3	0	2	4	0	3	2	0	2	1	2
SNORA54	2	0	0	0	0	2	0	2	1	4	1	0	0	2	2
SNORA55	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
SNORA56	7	1	4	5	1	1	1	2	3	3	0	0	3	4	2
SNORA57	77	31	39	59	16	7	26	30	35	19	8	17	17	27	9
SNORA58	5	3	3	13	4	3	4	6	7	3	3	4	3	9	0
SNORA59A	1.5	0.5	0.5	1.5	0	1.5	4	2	3.5	0	0.5	2	2	0.5	1
SNORA59B	1.5	0.5	0.5	1.5	0	1.5	4	2	3.5	0	0.5	2	2	0.5	1
SNORA5A	2	2	0	1	1	0	1	0	2	0	0	1	2	6	0
SNORA5B	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SNORA5C	5	2	2	0	0	2	1	2	3	1	0	2	0	2	0
SNORA6	2	7	2	6	2	0	2	4	1	4	0	3	4	5	1
SNORA60	3	0	0	0	3	0	0	1	0	1	0	0	0	0	0
SNORA61	29	24	35	46	7	8	33	33	49	14	6	25	22	36	11
SNORA62	21	6	9	17	4	5	6	13	14	3	2	6	7	2	1
SNORA63	9	2	2	3	0	0	1	1	4	1	0	0	2	3	0
SNORA64	6	1	2	15	2	0	10	6	11	2	1	5	6	7	4
SNORA65	13	5	8	0	0	2	3	1	2	2	0	1	2	1	0
SNORA66	9	2	2	10	3	1	3	1	3	2	0	2	1	4	2
SNORA67	53	24	51	66	7	18	40	46	48	33	13	35	47	42	17
SNORA68	12	4	5	6	4	1	1	2	12	4	2	7	1	5	6
SNORA69	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA70	77	50	74	184	17	27	71	61	98	45	20	47	48	76	38
SNORA70B	1	0	1	2	0	3	1	0	0	0	0	0	1	1	1
SNORA70C	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA70D	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0
SNORA70E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA70F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA70G	44	10	3	8	11	5	7	10	14	17	9	10	4	8	23
SNORA71A	2	0	6	0	0	0	1	0	0	0	0	1	0	2	0
SNORA71B	1	1	2	5	2	2	1	1	6	5	3	4	1	2	0
SNORA71C	2	0	0	5	0	1	5	0	1	0	0	1	5	2	1
SNORA71D	2	1	0	2	0	0	5	5	2	0	2	0	0	1	0
SNORA72	4	0	1	2	1	1	2	1	2	2	1	1	0	0	0
SNORA74A	0	1	0	0	1	1	2	0	0	0	0	1	0	0	0
SNORA74B	0	2	0	0	2	1	1	1	1	0	0	1	2	0	0
SNORA75	1	2	3	0	0	0	0	0	2	1	0	0	2	2	1
SNORA76	3	13	22	20	4	0	4	12	9	0	3	4	9	6	0
SNORA77	35	6	7	14	4	5	2	4	4	9	8	4	3	7	10
SNORA78	7	11	15	11	7	1	11	12	10	8	4	8	12	16	2
SNORA79	0	1	0	3	0	0	0	0	0	1	0	2	0	0	1
SNORA7A	0	1.99359	0	5.3227	3.58226	0	0	9.37889	0	1.44444	0	2.09088	3.37776	3.01638	1.58526
SNORA7B	13.6041	2	9.27247	17.1429	2.28571	3.42568	8.2749	2.90909	2.45581	11.5556	5	1.33333	6	8	9
SNORA8	10	4	10	9	7	3	5	4	5	4	0	2	5	11	1
SNORA80	4	4	5	7	1	3	1	2	1	1	0	4	1	8	1
SNORA80B	3	1	0	5	0	0	1	1	0	2	1	1	0	1	1
SNORA81	2	2	0	1	1	1	1	0	2	0	0	0	1	0	0
SNORA84	3	6	14.2609	12	0	1	1	5	7	3	1.74256	5.63216	4	8	3
SNORA9	14	7	4	15	1	2	9	6	12	2	2	5	2	4	1
SNORD10	37	7	11	18	4	9	14	20	13	8	3	1	9	4	5
SNORD100	6	2	4	5	2	1	4	2	2	0	0	1	3	5	0
SNORD101	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0
SNORD102	14	13	16	24	6	5	15	8	20	13	11	13	10	21	6
SNORD103A	5	1	0.5	1	1	0.5	1.5	1.5	3	0.5	0.5	0.5	1.5	2	1
SNORD103B	5	1	0.5	1	1	0.5	1.5	1.5	3	0.5	0.5	0.5	1.5	2	1
SNORD104	30	40	106	171	3	7	36	64	88	18	3	26	43	102	14
SNORD105	4	0	0	1	0	0	0	0	2	0	0	0	0	1	1
SNORD105B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD109A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SNORD109B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SNORD11	6	2	3	8	0	0	4	3	3	4	4	5	3	4	1
SNORD110	3	3	3	5	0	2	5	7	7	2	2	4	3	10	5
SNORD111	1	1	1	0	0	2	0	2	1	1	0	0	0	2	0
SNORD111B	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SNORD113-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-4	2	0	2	1	0	0	1	0	0	0	1	1	0	1	1
SNORD113-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD113-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SNORD114-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-19	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1
SNORD114-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-22	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SNORD114-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SNORD114-25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SNORD114-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
SNORD114-5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
SNORD114-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD114-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-1	0	0	0	0	0	0	0	0	0	0	1.24841	0	0	0	0
SNORD115-10	1.166666	0	0	0	0	0	0	0	0	0	0.627378	0	0	0.666666	1.444444
SNORD115-11	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
SNORD115-12	0.666666	0	0	0	0	0	0	0	0	0	0	0	0	0.666666	0.444444
SNORD115-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-14	0.5	0	0	0	1	0	0	0	0	0	0.627378	0	0	0	0
SNORD115-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-16	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
SNORD115-17	0	0	0	0	0	0	0.333333	0	0	0	0	0	0.333333	0	0.444444
SNORD115-18	0	0	0	0	0	0	0.333333	0	0	0	0	0	0.333333	0	0.444444
SNORD115-19	0	0	0	0	0	0	0.333333	0	0	0	0	0	0.333333	0	0.444444
SNORD115-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333
SNORD115-21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SNORD115-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SNORD115-29	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
